candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage,fold_idx,n_estimators,fold_accuracy,fit_seconds
stage1_006,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": 0.12, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,56.0,2,4,0.12,0.65,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": 0.12, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage2_cv,0,448,0.7176602924634421,92.19
stage1_006,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": 0.12, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,56.0,2,4,0.12,0.65,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": 0.12, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage2_cv,1,448,0.7277840269966255,93.763
stage1_006,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": 0.12, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,56.0,2,4,0.12,0.65,"{""criterion"": ""log_loss"", ""max_depth"": 56, ""max_features"": 0.12, ""max_samples"": 0.65, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage2_cv,2,448,0.7171792948237059,92.624
stage1_010,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",entropy,24.0,4,10,0.18,,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",stage2_cv,0,448,0.7165354330708661,181.458
stage1_010,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",entropy,24.0,4,10,0.18,,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",stage2_cv,1,448,0.7274090738657668,185.44
stage1_010,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",entropy,24.0,4,10,0.18,,"{""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 0.18, ""max_samples"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 10}",stage2_cv,2,448,0.7239309827456865,183.836
stage1_013,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40.0,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage2_cv,0,448,0.7247844019497562,663.025
stage1_013,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40.0,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage2_cv,1,448,0.72928383952006,671.817
stage1_013,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",log_loss,40.0,2,4,0.7,0.9,"{""criterion"": ""log_loss"", ""max_depth"": 40, ""max_features"": 0.7, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 4}",stage2_cv,2,448,0.7325581395348837,663.834
stage1_022,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage2_cv,0,448,0.7229096362954631,706.222
stage1_022,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage2_cv,1,448,0.7277840269966255,717.866
stage1_022,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",entropy,,3,4,0.7,,"{""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": 0.7, ""max_samples"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 4}",stage2_cv,2,448,0.7209302325581395,707.154
stage1_033,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",log_loss,,3,10,0.18,0.8,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",stage2_cv,0,448,0.7101612298462692,158.87
stage1_033,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",log_loss,,3,10,0.18,0.8,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",stage2_cv,1,448,0.7307836520434946,161.271
stage1_033,stage2_shortlist_from_stage1,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",log_loss,,3,10,0.18,0.8,"{""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.18, ""max_samples"": 0.8, ""min_samples_leaf"": 3, ""min_samples_split"": 10}",stage2_cv,2,448,0.7190547636909227,160.455
stage1_041,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",gini,32.0,3,2,0.25,0.9,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",stage2_cv,0,448,0.7191601049868767,188.097
stage1_041,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",gini,32.0,3,2,0.25,0.9,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",stage2_cv,1,448,0.7285339332583427,191.595
stage1_041,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",gini,32.0,3,2,0.25,0.9,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",stage2_cv,2,448,0.7231807951987997,191.303
stage1_049,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",entropy,40.0,2,10,0.25,0.9,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",stage2_cv,0,448,0.724034495688039,242.835
stage1_049,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",entropy,40.0,2,10,0.25,0.9,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",stage2_cv,1,448,0.7255343082114736,245.674
stage1_049,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",entropy,40.0,2,10,0.25,0.9,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",stage2_cv,2,448,0.7269317329332333,240.918
